keyword,point_type,row,col,lat,lng,api_rank,api_top3,api_results,maps_url,manual_rank,manual_top3,notes
seo fredericton,tracker,E,,45.963473,-66.626042,2,Fredericton Local SEO | Mypageseo | Enter Design,20+,"https://www.google.com/maps/search/seo%20fredericton/@45.963473,-66.626042,14z",,,
seo fredericton,tracker,W,,45.963473,-66.664855,2,TRL Solutions | Mypageseo | Fredericton Local SEO,20+,"https://www.google.com/maps/search/seo%20fredericton/@45.963473,-66.664855,14z",,,
seo fredericton,grid,0,0,45.972466,-66.658387,3,Fredericton Local SEO | TRL Solutions | Mypageseo,20+,"https://www.google.com/maps/search/seo%20fredericton/@45.972466,-66.658387,14z",,,
seo fredericton,grid,0,1,45.972466,-66.645449,2,Fredericton Local SEO | Mypageseo | TRL Solutions,20+,"https://www.google.com/maps/search/seo%20fredericton/@45.972466,-66.645449,14z",,,
seo fredericton,grid,0,2,45.972466,-66.632511,2,Fredericton Local SEO | Mypageseo | TRL Solutions,20+,"https://www.google.com/maps/search/seo%20fredericton/@45.972466,-66.632511,14z",,,
seo fredericton,grid,1,0,45.963473,-66.658387,1,Mypageseo | TRL Solutions | Fredericton Local SEO,20+,"https://www.google.com/maps/search/seo%20fredericton/@45.963473,-66.658387,14z",,,
seo fredericton,grid,1,1,45.963473,-66.645449,1,Mypageseo | Fredericton Local SEO | TRL Solutions,20+,"https://www.google.com/maps/search/seo%20fredericton/@45.963473,-66.645449,14z",,,
seo fredericton,grid,1,2,45.963473,-66.632511,2,Fredericton Local SEO | Mypageseo | TRL Solutions,20+,"https://www.google.com/maps/search/seo%20fredericton/@45.963473,-66.632511,14z",,,
seo fredericton,grid,2,0,45.954479,-66.658387,3,TRL Solutions | Enter Design | Mypageseo,20+,"https://www.google.com/maps/search/seo%20fredericton/@45.954479,-66.658387,14z",,,
seo fredericton,grid,2,1,45.954479,-66.645449,1,Mypageseo | Fredericton Local SEO | TRL Solutions,20+,"https://www.google.com/maps/search/seo%20fredericton/@45.954479,-66.645449,14z",,,
seo fredericton,grid,2,2,45.954479,-66.632511,2,Fredericton Local SEO | Mypageseo | Enter Design,20+,"https://www.google.com/maps/search/seo%20fredericton/@45.954479,-66.632511,14z",,,
marketing agency,tracker,C,,45.963473,-66.645449,5,The Ginger Agency | Creative Juices | Steady Media,19+,"https://www.google.com/maps/search/marketing%20agency/@45.963473,-66.645449,14z",,,
marketing agency,tracker,N,,45.976963,-66.645449,5,The Ginger Agency | Enter Design | Creative Juices,19+,"https://www.google.com/maps/search/marketing%20agency/@45.976963,-66.645449,14z",,,
marketing agency,tracker,S,,45.949983,-66.645449,6,Enter Design | The Ginger Agency | Creative Juices,20+,"https://www.google.com/maps/search/marketing%20agency/@45.949983,-66.645449,14z",,,
marketing agency,tracker,E,,45.963473,-66.626042,7,Creative Juices | The Ginger Agency | Enter Design,20+,"https://www.google.com/maps/search/marketing%20agency/@45.963473,-66.626042,14z",,,
marketing agency,tracker,W,,45.963473,-66.664855,5,The Ginger Agency | Enter Design | TRL Solutions,17+,"https://www.google.com/maps/search/marketing%20agency/@45.963473,-66.664855,14z",,,
marketing agency,grid,0,0,45.972466,-66.658387,5,The Ginger Agency | Enter Design | TRL Solutions,17+,"https://www.google.com/maps/search/marketing%20agency/@45.972466,-66.658387,14z",,,
marketing agency,grid,0,1,45.972466,-66.645449,4,The Ginger Agency | Creative Juices | Enter Design,19+,"https://www.google.com/maps/search/marketing%20agency/@45.972466,-66.645449,14z",,,
marketing agency,grid,0,2,45.972466,-66.632511,6,The Ginger Agency | Creative Juices | Enter Design,20+,"https://www.google.com/maps/search/marketing%20agency/@45.972466,-66.632511,14z",,,
marketing agency,grid,1,0,45.963473,-66.658387,5,The Ginger Agency | Enter Design | Creative Juices,17+,"https://www.google.com/maps/search/marketing%20agency/@45.963473,-66.658387,14z",,,
marketing agency,grid,1,1,45.963473,-66.645449,5,The Ginger Agency | Creative Juices | Steady Media,19+,"https://www.google.com/maps/search/marketing%20agency/@45.963473,-66.645449,14z",,,
marketing agency,grid,1,2,45.963473,-66.632511,5,Creative Juices | The Ginger Agency | Enter Design,20+,"https://www.google.com/maps/search/marketing%20agency/@45.963473,-66.632511,14z",,,
marketing agency,grid,2,0,45.954479,-66.658387,6,Enter Design | The Ginger Agency | TRL Solutions,18+,"https://www.google.com/maps/search/marketing%20agency/@45.954479,-66.658387,14z",,,
marketing agency,grid,2,1,45.954479,-66.645449,6,The Ginger Agency | Creative Juices | Enter Design,20+,"https://www.google.com/maps/search/marketing%20agency/@45.954479,-66.645449,14z",,,
marketing agency,grid,2,2,45.954479,-66.632511,6,Creative Juices | Enter Design | The Ginger Agency,20+,"https://www.google.com/maps/search/marketing%20agency/@45.954479,-66.632511,14z",,,
